title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
CAIRO,Karol G . Ovy On The Drums,2022,294352144,115,F,Minor,95,43,69,47,0,9,31
Last Last,Burna Boy,2022,293466523,88,D-sharp,Minor,80,55,56,13,0,8,9
ceilings,Lizzy McAlpine,2022,293186992,148,A,Major,51,27,33,48,0,22,3
Daylight,Harry Styles,2022,290833204,146,unknown,Major,69,63,45,48,0,18,4
Every Summertime,NIKI,2021,290228626,79,F-sharp,Major,63,76,67,38,0,6,4
Ch y la Pizza,Fuerza Regida . Natanael Cano,2022,288101651,149,G-sharp,Major,66,85,60,40,0,14,13
El Rescate,Grupo Marca Registrada . Junior H,2022,287278853,99,G,Minor,79,64,59,28,0,11,14
It'll Be Okay,Shawn Mendes,2021,287201015,78,G,Major,40,7,29,62,0,9,3
Crazy What Love Can Do,David Guetta . Ella Henderson . Becky Hill,2022,286739476,123,E,Minor,60,46,71,3,0,16,4
Too Many Nights (feat. Don Toliver & with Future),Future . Metro Boomin . Don Toliver,2022,286400165,88,G,Minor,68,17,71,15,0,11,5
Nobody Gets Me,SZA,2022,284908316,100,G,Major,36,28,28,81,0,18,3
Radio,Lana Del Rey,2011,284819874,150,D,Major,42,20,86,21,0,9,9
How Do I Say Goodbye,Dean Lewis,2022,284785823,82,G-sharp,Major,40,39,64,21,0,7,7
Pasoori,Shae Gill . Ali Sethi,2022,284249832,92,B,Minor,71,67,60,7,0,6,4
Hold Me Closer,Elton John . Britney Spears,2017,284216603,126,unknown,Major,67,49,77,11,0,19,11
Aguacero,Bad Bunny,2022,283359161,121,F-sharp,Minor,86,67,65,42,0,35,7
Un Verano Sin Ti,Bad Bunny,2022,283332261,188,F,Minor,50,41,50,69,0,12,6
Forever,Labrinth,2019,282883169,80,E,Minor,56,19,46,92,72,11,3
ULTRA SOLO REMIX,De La Ghetto . Feid . Polima WestCoast . Paloma Mami . Pailita,2022,279717388,110,C-sharp,Major,91,59,82,8,0,6,8
Ferxxo 100,Feid,2022,278920007,164,G-sharp,Minor,70,58,57,25,0,15,7
BILLIE EILISH.,Armani White,2022,277132266,100,C-sharp,Major,90,75,50,11,0,9,26
Trance (with Travis Scott & Young Thug),Travis Scott . Young Thug . Metro Boomin,2022,276259178,119,C-sharp,Minor,75,48,53,18,0,18,34
Caile,Luar La L,2020,273914335,122,unknown,Major,70,46,76,30,0,9,45
Little Freak,Harry Styles,2022,273194684,142,D-sharp,Major,56,40,54,72,0,10,4
Pantysito,Feid . Alejo . Robi,2022,273005485,98,G,Minor,83,63,74,14,0,16,6
Low,SZA,2022,272377463,145,unknown,Minor,70,34,55,43,0,16,6
Cooped Up (with Roddy Ricch),Post Malone . Roddy Ricch,2022,271666301,125,unknown,Major,50,39,78,4,0,11,33
Surface Pressure,Jessica Darrow,2021,267758538,180,D,Major,65,37,58,2,0,4,31
X SI VOLVEMOS,Karol G . Romeo Santos,2023,266624541,178,C-sharp,Minor,79,58,78,34,0,11,25
Car's Outside,James Arthur,2019,265882712,150,A,Major,34,24,56,4,0,11,3
After LIKE,IVE,2022,265548837,125,unknown,Major,68,80,92,10,0,9,12
Attention,NewJeans,2022,264717480,105,A-sharp,Minor,81,70,65,24,0,8,4
Bombonzinho - Ao Vivo,Israel & Rodolffo . Ana Castela,2022,263453310,158,C-sharp,Major,65,72,95,31,0,92,5
Ojos Marrones,Lasso,2022,263280370,120,G-sharp,Minor,81,72,65,4,0,14,4
Salimo de Noche,Trueno . Tiago pzk,2021,261414174,84,D,Major,67,78,63,29,0,12,5
Peru,Ed Sheeran . Fireboy DML,2021,261286503,108,G,Minor,96,71,42,57,0,8,9
My Only Wish (This Year),Britney Spears,2000,261116938,147,unknown,Major,67,69,72,17,0,19,3
Numb Little Bug,Em Beihold,2022,258714692,85,G-sharp,Minor,74,61,52,30,0,26,9
Moonlight,Kali Uchis,2023,256483385,137,G,Minor,64,88,72,51,0,17,5
El Gordo Trae El Mando,Chino Pacas,2023,255932395,140,G,Minor,74,96,80,18,0,5,5
When You're Gone,Shawn Mendes,2022,255120451,147,F,Major,60,58,69,2,0,58,4
PUFFIN ON ZOOTIEZ,Future,2022,254218729,125,G-sharp,Major,88,28,66,6,0,13,31
Vigilante Shit,Taylor Swift,2022,253650850,80,E,Minor,80,16,28,17,0,12,39
Down Under (feat. Colin Hay),Luude . Colin Hay,2021,252871192,172,B,Minor,31,4,86,1,0,28,17
Coco Chanel,Bad Bunny . Eladio Carrion,2023,250305248,150,D,Major,68,14,76,4,0,10,4
Villano Antillano: Bzrp Music Sessions . Vol. 51,Bizarrap . Villano Antillano,2022,248511839,128,C-sharp,Minor,82,42,75,6,0,63,6
Rara Vez,Taiu . Milo j,2023,248088961,120,F,Minor,84,96,71,18,0,34,17
ELEVEN,IVE,2021,247737946,120,A,Major,83,59,73,6,0,5,11
2 Be Loved (Am I Ready),Lizzo,2022,247689123,156,G,Major,72,92,77,9,0,8,11
Die For You,Joji,2022,246390068,148,G-sharp,Major,47,15,52,38,13,29,5
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022,246376690,130,D,Minor,51,50,76,30,0,10,7
Agosto,Bad Bunny,2022,246127838,115,C-sharp,Minor,85,72,58,9,0,49,12
Run Rudolph Run - Single Version,Chuck Berry,1958,245350949,152,G,Minor,69,94,71,79,0,7,8
TO THE MOON,Jnr Choi,2021,245095641,144,D,Major,74,39,65,5,1,11,35
THE SHADE,Rex Orange County,2022,244928911,120,F,Major,90,73,51,39,0,9,6
San Lucas,Kevin Kaarl,2019,244891912,92,G,Major,58,27,36,86,0,9,3
Afraid To Feel,LF System,2022,244790012,128,C-sharp,Major,58,68,91,2,0,27,11
Thousand Miles,The Kid Laroi,2022,244741137,81,G,Major,38,20,66,9,0,9,8
Heart To Heart,Mac DeMarco,2019,244658767,150,G-sharp,Minor,90,64,14,67,35,11,10
B.O.T.A. (Baddest Of Them All) - Edit,Interplanetary Criminal . Eliza Rose,2022,244585109,137,unknown,Major,74,71,89,24,61,15,5
Christmas (Baby Please Come Home),Darlene Love,1963,242767149,126,D-sharp,Major,34,35,76,39,0,8,5
Don't You Worry,David Guetta . Shakira . Black Eyed Peas,2022,240918092,132,B,Major,82,49,88,20,0,21,3
Ginseng Strip 2002,Yung Lean,2013,240769997,115,C-sharp,Major,60,37,71,8,0,48,4
Plan A,Paulo Londra,2022,240661097,174,unknown,Major,58,56,83,5,0,7,4
With you,HA SUNG WOON . Jimin,2022,240580042,150,D-sharp,Major,53,14,43,64,0,13,3
Forget Me,Lewis Capaldi,2022,239411309,102,C-sharp,Minor,67,72,74,30,0,36,4
Hold My Hand,Lady Gaga,2022,238350348,148,G,Major,51,21,63,5,0,41,3
Die Hard,Kendrick Lamar . Blxst . Amanda Reifer,2022,237351106,101,C-sharp,Minor,78,40,74,36,0,17,27
Entre Nosotros (Remix) [con Nicki Nicole],Lit Killah . Maria Becerra . Tiago pzk . NICKI NICOLE,2022,236940480,170,F,Minor,70,61,44,40,0,37,4
Tom's Diner,AnnenMayKantereit . Giant Rooks,2019,236872197,98,F-sharp,Minor,68,33,43,38,0,36,14
Keep Driving,Harry Styles,2022,236060709,165,A,Major,72,90,48,32,0,18,23
Typa Girl,BLACKPINK,2022,235549288,132,G,Major,92,53,62,7,0,63,10
Nosso Quadro,Ana Castela . AgroPlay,2023,233801632,160,A,Major,69,61,71,33,0,31,20
Love Of My Life,Harry Styles,2022,233671263,118,G,Major,56,20,54,67,0,6,5
FLOWER,JISOO,2023,232896922,124,A,Minor,84,64,39,3,0,11,4
Mujeriego,Ryan Castro,2021,231996128,80,A,Major,76,92,62,6,0,8,13
MERCHO,Migrantes . LiL CaKe . Nico Valdi,2022,231332117,93,F-sharp,Minor,84,96,79,43,0,18,11
FEARLESS,LE SSERAFIM,2022,229497852,104,G,Major,86,43,62,5,0,13,14
Starlight,Dave,2022,229473310,124,G,Major,95,36,37,35,0,10,28
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,2022,227918678,82,A,Major,70,31,34,60,1,11,4
I AM WOMAN,Emmy Meli,2021,225259194,170,A-sharp,Major,65,46,47,12,0,13,16
El Merengue,Marshmello . Manuel Turizo,2023,223633238,124,G-sharp,Minor,78,70,68,3,1,11,4
Marisola - Remix,Duki . NICKI NICOLE . Cris Mj . Standly . Stars Music Chile,2022,223582566,95,C-sharp,Major,77,72,87,17,0,7,5
Question...?,Taylor Swift,2022,223064273,109,G,Major,75,11,50,20,0,30,17
Eu Gosto Assim - Ao Vivo,Gustavo Mioto . Mari Fernandez,2022,222612678,154,unknown,Major,64,61,91,15,0,72,4
KU LO SA - A COLORS SHOW,Oxlade,2022,222410722,93,A-sharp,Minor,65,79,66,31,0,22,7
Betty (Get Money),Yung Gravy,2022,221752937,102,C-sharp,Major,73,62,75,0,0,34,8
Bad Decisions (with BTS & Snoop Dogg),Snoop Dogg . BTS . Benny Blanco,2022,219196651,120,unknown,Major,77,94,87,2,0,23,12
Mastermind,Taylor Swift,2022,218320587,126,E,Major,66,12,35,55,0,9,14
Cupido,Tini,2023,217672943,120,A,Major,91,63,58,52,0,31,22
POP!,Nayeon,2022,213505179,97,D,Major,80,36,86,4,0,3,5
WORTH NOTHING,Twisted . Oliver Tree,2022,213438580,140,D,Minor,58,17,62,18,0,20,8
MANIAC,Stray Kids,2022,212234990,120,C-sharp,Major,58,71,80,15,0,7,41
That That (prod. & feat. SUGA of BTS),PSY . Suga,2022,212109195,130,E,Major,91,91,96,3,0,3,9
Polaroid Love,ENHYPEN,2022,211372494,138,G,Minor,74,65,67,46,0,36,4
Miracle (with Ellie Goulding),Calvin Harris . Ellie Goulding,2023,211050784,143,A,Major,64,31,87,4,4,8,4
KICK BACK,Kenshi Yonezu,2022,210038833,102,C-sharp,Major,58,29,94,0,0,9,11
Watch This - ARIZONATEARS Pluggnb Remix,sped up nightcore . ARIZONATEARS . Lil Uzi Vert,2023,207033255,130,B,Minor,69,36,90,1,10,15,4
MIENTRAS ME CURO DEL CORA,Karol G,2023,206399629,80,unknown,Major,52,57,48,86,0,15,39
When I R.I.P.,Labrinth,2019,203680270,80,G-sharp,Minor,39,45,55,73,0,9,21
The Astronaut,Jin,2022,203436468,125,F,Major,54,22,76,0,0,14,3
Thought You Should Know,Morgan Wallen,2022,203221468,140,F-sharp,Major,53,51,70,49,0,14,3
Hati-Hati di Jalan,Tulus,2022,202677468,72,F-sharp,Major,64,76,44,70,9,12,4
Static,Steve Lacy,2022,202452860,79,C-sharp,Major,34,22,31,43,63,10,7
Tattoo,Loreen,2023,201660859,150,D-sharp,Minor,55,30,78,24,0,12,8
Bar,Tini . L-Gante,2021,200972675,94,C-sharp,Major,52,68,69,13,0,33,8
Less Than Zero,The Weeknd,2022,200660871,143,unknown,Major,53,50,79,0,0,8,3
Peso Pluma: Bzrp Music Sessions . Vol. 55,Bizarrap . Peso Pluma,2023,200647221,133,F,Minor,85,81,67,26,0,12,5
Grapejuice,Harry Styles,2022,199587884,183,F,Major,65,88,72,36,14,20,3
Limbo,Freddie Dredd,2022,199386237,75,B,Minor,80,46,62,3,6,11,46
DANCE CRIP,Trueno,2021,198883004,106,unknown,Major,86,86,79,11,0,8,9
Spin Bout U,Drake . 21 Savage,2022,198365537,130,G,Major,77,20,70,1,0,16,5
En Paris,El Chachito . Junior H,2022,198275403,139,D-sharp,Minor,70,77,48,37,0,12,5
IDGAF (with blackbear),Blackbear . BoyWithUke,2022,197643795,98,F,Major,78,83,75,41,0,27,8
Pass The Dutchie,Musical Youth,1982,195918494,151,G,Major,73,88,67,20,0,32,5
Massive,Drake,2022,195628667,125,E,Minor,51,5,68,12,2,15,6
Eyes Closed,Ed Sheeran,2023,195576623,107,D,Major,78,39,53,30,0,11,6
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Travis Scott . 21 Savage . Metro Boomin,2022,195516622,88,G,Minor,49,24,66,19,0,18,29
True Love,Kanye West . XXXTENTACION,2022,194902696,84,F,Minor,71,39,86,2,0,51,25
Nail Tech,Jack Harlow,2022,193443895,150,E,Minor,65,11,58,0,0,12,9
La Bebe,Yng Lvcas,2021,191945597,170,D,Minor,78,75,46,62,0,12,35
Pipoco,Melody . Ana Castela . Dj Chris No Beat,2022,191873381,135,G-sharp,Major,77,74,74,47,0,34,8
Sticky,Drake,2022,191448892,137,A-sharp,Minor,88,8,49,9,0,9,14
Pussy & Millions (feat. Travis Scott),Drake . Travis Scott . 21 Savage,2022,191333656,122,E,Minor,75,45,63,6,0,35,12
In My Head,Lil Tjay,2022,190981339,143,C-sharp,Major,68,41,55,16,0,10,12
Potion (with Dua Lipa & Young Thug),Calvin Harris . Dua Lipa . Young Thug,2022,190625045,100,B,Minor,82,76,70,16,0,8,5
Slut Me Out,NLE Choppa,2022,190490915,121,F-sharp,Minor,94,71,61,12,0,53,42
Talk that Talk,TWICE,2022,189476119,120,D-sharp,Minor,77,78,91,14,0,33,12
Cinema,Harry Styles,2022,189236868,106,A,Minor,83,90,64,35,5,9,4
Daydreaming,Harry Styles,2022,187703102,114,E,Minor,71,90,81,31,2,13,3
Casei Com a Putaria,MC Ryan SP . Love Funk . Mc Paiva ZS,2022,187701588,161,A-sharp,Minor,59,62,60,12,0,5,44
Labyrinth,Taylor Swift,2022,187339835,110,unknown,Major,48,15,31,80,22,12,4
Sweet Nothing,Taylor Swift,2022,186104310,177,unknown,Major,34,39,16,97,0,12,5
10 Things I Hate About You,Leah Kate,2022,185550869,154,G-sharp,Major,54,45,79,1,0,17,5
Cigarettes,Juice WRLD,2021,185408548,160,D,Major,60,47,62,3,0,38,4
Prohibidox,Feid,2022,185392587,180,C-sharp,Minor,65,52,80,5,0,6,25
All Of The Girls You Loved Before,Taylor Swift,2019,185240616,96,D,Major,72,40,47,71,0,13,4
GIVENCHY,Duki,2022,185236961,103,G-sharp,Major,61,38,62,14,0,23,40
The Family Madrigal,Olga Merediz . Stephanie Beatriz . Encanto - Cast,2021,184937148,141,C-sharp,Major,59,56,63,12,0,6,36
Flowers,Lauren Spencer Smith,2021,184826429,138,D-sharp,Major,70,31,44,84,0,9,39
Tak Ingin Usai,Keisya Levronka,2022,184807630,130,unknown,Major,49,14,40,82,0,11,3
Good Looking,Suki Waterhouse,2017,184706613,150,E,Major,37,27,56,8,0,13,3
Escapism. - Sped Up,RAYE . 070 Shake,2022,184308753,108,F-sharp,Minor,44,38,77,9,0,9,20
Sprinter,Dave . Central Cee,2023,183706234,141,C-sharp,Major,92,66,58,19,0,8,24
295,Sidhu Moose Wala,2021,183273246,90,B,Minor,68,54,76,21,0,11,20
DARARI,Treasure,2022,182978249,85,unknown,Major,72,55,64,49,0,7,4
Shut up My Moms Calling - (Sped Up),Hotel Ugly,2022,181831132,85,F,Minor,65,36,47,31,0,12,10
The Great War,Taylor Swift,2022,181382590,96,F,Major,57,55,74,22,0,8,4
Hrs and Hrs,Muni Long,2021,181328253,140,G-sharp,Minor,51,66,53,60,0,11,18
You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani . Blake Shelton,2005,180577478,93,F,Major,63,93,88,1,0,12,4
Tak Segampang Itu,Anggi Marito,2022,179659294,130,F,Major,51,18,44,76,0,11,3
Si Te La Encuentras Por Ahï¿,Feid,2022,179061440,172,G-sharp,Minor,74,46,58,15,0,13,8
Jingle Bells - Remastered 1999,Frank Sinatra,1957,178660459,175,G-sharp,Major,51,94,34,73,0,10,5
Si Quieren Frontear,De La Ghetto . Duki . Quevedo,2022,178512385,82,A-sharp,Major,79,48,84,13,0,21,23
Baby Don't Hurt Me,David Guetta . Anne-Marie . Coi Leray,2023,177740666,128,G,Major,60,23,91,0,0,12,3
Would've . Could've . Should've,Taylor Swift,2022,177503916,158,G,Major,48,55,84,43,0,15,12
TQM,Fuerza Regida,2023,176553476,125,F,Minor,79,96,85,27,0,11,6
Celestial,Ed Sheeran,2022,176474912,123,D,Major,57,50,85,5,0,16,4
Ai Preto,L7nnon . DJ Biel do Furduncinho . Bianca,2022,176103902,130,F-sharp,Major,95,83,57,54,0,10,25
WANDA,Quevedo,2023,175399345,176,E,Minor,72,96,63,25,0,21,7
Search & Rescue,Drake,2023,175097833,142,A-sharp,Minor,82,54,44,6,0,33,7
Evoque Prata,DJ Escobar . MC MENOR SG . MC MENOR HR,2022,174006928,87,G,Major,87,52,52,31,0,28,24
Rich Spirit,Kendrick Lamar,2022,173702135,96,A-sharp,Minor,85,41,43,39,0,12,21
Like Crazy (English Version),Jimin,2023,173627354,120,G,Major,62,32,76,0,0,39,4
Chemical,Post Malone,2023,172825906,170,D,Major,50,37,90,0,0,12,5
STAYING ALIVE (feat. Drake & Lil Baby),Drake . DJ Khaled . Lil Baby,2022,170732845,130,E,Minor,72,18,46,7,0,28,8
Nxde,(G)I-DLE,2022,170709584,136,E,Minor,73,65,91,4,0,48,18
On BS,Drake . 21 Savage,2022,170413877,158,A,Major,84,33,36,2,0,39,59
Gatita,Bellakath,2022,168684524,101,G,Major,90,76,81,15,24,33,6
Set Me Free Pt.2,Jimin,2023,168448603,132,unknown,Minor,59,56,82,12,0,12,6
Dos Oruguitas,Sebastian Yatra,2021,167076418,94,unknown,Major,42,47,36,76,0,9,5
Sial,Mahalini,2023,166570053,120,D,Major,56,20,43,89,0,12,4
If We Ever Broke Up,Mae Stephens,2023,165584767,116,G,Major,90,96,73,62,0,9,4
Makeba,Jain,2015,165484133,116,D,Major,82,40,66,39,51,25,7
En El Radio Un Cochinero,Victor Cibrian,2022,164856284,154,F-sharp,Minor,70,97,62,47,0,10,4
Paulo Londra: Bzrp Music Sessions . Vol. 23,Bizarrap . Paulo Londra,2022,164163229,96,unknown,Major,61,32,90,25,0,10,9
Blind,SZA,2022,163284000,114,A,Minor,46,60,28,91,0,21,4
Shorty Party,Cartel De Santa . La Kelly,2023,162887075,96,D,Major,93,47,47,33,0,10,36
Chanel,Becky G . Peso Pluma,2023,161460990,132,D,Major,85,53,68,40,0,9,4
Die Young (feat. 347aidan),Sleepy hallow . 347aidan,2022,160845341,77,B,Major,81,68,58,83,0,11,34
Beautiful Girl,Luciano,2022,160035717,140,B,Minor,84,61,42,31,0,9,9
BABY OTAKU,Fran C . Polima WestCoast . Nickoog Clk . Pablito Pesadilla,2022,159240673,102,A,Major,84,43,75,5,0,6,8
Antes de Perderte,Duki,2022,157136970,110,F,Minor,81,61,93,49,0,12,11
Fast Car,Luke Combs,2023,157058870,98,G-sharp,Major,71,67,60,19,0,12,3
United In Grief,Kendrick Lamar,2022,156898322,87,G-sharp,Major,52,32,83,24,0,17,43
Kahani Suno 2.0,Kaifi Khalil,2022,156777415,140,B,Major,58,26,38,91,0,10,4
Pope Is a Rockstar,SALES,2016,156658366,90,E,Minor,73,31,45,85,24,11,3
Boy's a liar Pt. 2,PinkPantheress . Ice Spice,2023,156338624,133,F,Major,70,86,81,25,0,25,5
Boy's a liar,PinkPantheress,2022,156338624,133,F,Major,66,74,84,25,0,21,4
Malas Decisiones,Kenia OS,2022,156214700,110,G-sharp,Minor,81,64,79,5,0,31,3
MORE,j-hope,2022,155795783,97,D,Major,78,31,72,1,0,11,4
Open Arms (feat. Travis Scott),SZA . Travis Scott,2022,155653938,78,A,Major,67,22,59,76,1,15,16
Major Distribution,Drake . 21 Savage,2022,154863153,131,G-sharp,Minor,91,23,55,1,0,7,32
What Else Can I Do?,Stephanie Beatriz . Diane Guerrero,2021,154797871,120,E,Major,72,54,71,26,0,10,4
Miss You,Southstar,1982,154356956,145,A,Major,66,24,58,17,0,19,5
Erro Gostoso - Ao Vivo,Simone Mendes,2023,153454328,154,F-sharp,Major,59,63,89,18,0,80,9
AMARGURA,Karol G,2023,153372011,107,F-sharp,Minor,92,55,70,18,0,15,7
Freaky Deaky,Tyga . Doja Cat,2022,153240879,104,D,Minor,80,24,65,2,0,9,4
VIBE (feat. Jimin of BTS),TAEYANG . Jimin,2023,152850295,100,unknown,Major,79,60,68,7,0,26,4
Dua Lipa,Jack Harlow,2022,150500965,158,B,Major,83,41,65,0,10,11,8
Tormenta (feat. Bad Bunny),Gorillaz . Bad Bunny,2023,149778242,95,unknown,Major,64,30,77,46,0,38,6
One Thing At A Time,Morgan Wallen,2022,148469433,142,G,Major,61,92,91,0,0,26,3
Talk,YEAT,2022,148461629,140,E,Minor,70,26,76,8,0,54,23
Love Again,The Kid Laroi,2023,147538971,107,B,Minor,66,47,40,72,0,11,3
Di Que Si,Grupo Marca Registrada . Grupo Frontera,2023,147290338,182,A,Major,57,80,59,8,0,6,5
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran . Taylor Swift,2022,146789379,134,unknown,Major,53,31,31,92,0,28,3
Mas Rica Que Ayer,Mambo Kingz . DJ Luian . Anuel Aa,2023,146409671,94,B,Major,82,53,67,34,0,9,8
That's Hilarious,Charlie Puth,2022,146363130,108,F-sharp,Major,71,55,44,74,0,11,6
Heaven,Niall Horan,2023,144584800,92,F,Major,57,68,76,7,0,33,3
All My Life (feat. J. Cole),J. Cole . Lil Durk,2023,144565150,143,D-sharp,Major,83,69,44,15,0,10,33
212,Mainstreet . Chefin,2022,143139338,154,D,Minor,79,86,52,66,0,9,7
Un Finde | CROSSOVER 2,Big One . FMK . Ke personajes,2023,142095275,192,B,Major,50,85,52,11,0,28,6
Circo Loco,Drake . 21 Savage,2022,141720999,104,C-sharp,Major,73,25,61,1,0,32,7
Seven (feat. Latto) (Explicit Ver.),Latto . Jung Kook,2023,141381703,125,B,Major,80,89,83,31,0,8,4
I Really Want to Stay at Your House,Rosa Walton . Hallie Coggins,2020,140430339,125,D-sharp,Minor,49,13,74,0,0,9,4
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar . Shilpa Rao . Caralisa Monteiro . Kumaar . Vishal Dadlani . Shekhar Ravjiani,2022,140187018,116,G-sharp,Minor,77,65,80,6,0,15,4
vampire,Olivia Rodrigo,2023,140003974,138,F,Major,51,32,53,17,0,31,6
